"title","keywords","link"
"AMSRE_36V_AM_FT_2002_day173.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day173.h5"
"AMSRE_36V_AM_FT_2002_day174.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day174.h5"
"AMSRE_36V_AM_FT_2002_day175.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day175.h5"
"AMSRE_36V_AM_FT_2002_day176.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day176.h5"
"AMSRE_36V_AM_FT_2002_day177.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day177.h5"
"AMSRE_36V_AM_FT_2002_day178.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day178.h5"
"AMSRE_36V_AM_FT_2002_day179.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day179.h5"
"AMSRE_36V_AM_FT_2002_day180.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day180.h5"
"AMSRE_36V_AM_FT_2002_day181.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day181.h5"
"AMSRE_36V_AM_FT_2002_day182.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day182.h5"
"AMSRE_36V_AM_FT_2002_day183.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day183.h5"
